date,close,volume,open,high,low,Close_Nasdaq,Volume_Nasdaq,UFRI_rate,DollarEuro
1/4/2016,54.8,53209740,54.32,54.8,53.39,4903.089844,2218420000,2.98,1.086
1/5/2016,55.05,34059040,54.93,55.39,54.54,4891.430176,1927380000,3.01,1.0831
1/6/2016,54.05,39498780,54.32,54.4001,53.64,4835.759766,2168620000,2.94,1.0748
1/7/2016,52.17,56497950,52.7,53.485,52.07,4689.430176,2552590000,2.92,1.0781
1/8/2016,52.33,48718970,52.37,53.28,52.15,4643.629883,2288750000,2.91,1.0936
1/11/2016,52.3,36889200,52.51,52.85,51.46,4637.990234,2391110000,2.96,1.0932
1/12/2016,52.78,36061760,52.76,53.1,52.06,4685.919922,2147470000,2.89,1.086
1/13/2016,51.64,66862860,53.8,54.07,51.3038,4526.060059,2533200000,2.85,1.0857
1/14/2016,53.11,52227000,52,53.4163,51.57,4615,2565560000,2.9,1.0877
1/15/2016,50.99,71037400,51.31,51.97,50.34,4488.419922,2818630000,2.81,1.0865
1/19/2016,50.56,43484630,51.48,51.68,50.06,4476.950195,2394550000,0,1.0917
1/20/2016,50.79,63249630,49.98,51.38,49.1,4471.689941,3204130000,2.82,1.0892
1/21/2016,50.48,40172530,51,51.58,50.3,4472.060059,2447750000,2.77,1.0909
1/22/2016,52.29,36881330,51.41,52.33,51.26,4591.180176,2153340000,2.79,1.0891
1/25/2016,51.79,34654900,51.94,52.65,51.65,4518.490234,2028880000,2.83,1.0874
1/26/2016,52.17,28768620,51.79,52.44,51.55,4567.669922,1981180000,2.8,1.0797
1/27/2016,51.22,36647310,52.01,52.2,51.0201,4468.169922,2115710000,2.79,1.0849
1/28/2016,52.055,61275100,51.86,52.21,51.25,4506.680176,2322310000,2.8,1.0871
1/29/2016,55.09,83559310,54.73,55.09,54,4613.950195,2617550000,2.79,1.0893
2/1/2016,54.71,44172930,54.88,55.09,54.495,4620.370117,1983340000,2.75,1.0939
2/2/2016,53,55388320,54.17,54.26,52.65,4516.950195,2185180000,2.77,1.0837
2/3/2016,52.16,57526850,53.25,53.39,51.26,4504.240234,2466190000,2.67,1.0888
2/4/2016,52,46967100,52.1,52.81,51.37,4509.560059,2200930000,2.7,1.0919
2/5/2016,50.16,61262540,51.94,52,49.56,4363.140137,2489280000,2.7,1.1104
2/8/2016,49.41,58393070,49.55,49.57,48.19,4283.75,2702070000,2.68,1.1208
2/9/2016,49.28,46589450,49.02,50.24,48.67,4268.759766,2465790000,2.56,1.1159
2/10/2016,49.71,38220450,49.89,50.39,49.52,4283.589844,2448380000,2.55,1.1198
2/11/2016,49.69,48855890,48.68,50.11,48.51,4266.839844,2812330000,2.53,1.1293
2/12/2016,50.5,34216160,50.25,50.68,49.75,4337.509766,1983190000,2.5,1.129
2/16/2016,51.09,36460400,50.9,51.09,50.13,4435.959961,2117920000,2.6,1.1324
2/17/2016,52.42,40779580,51.49,52.77,51.45,4534.060059,2296440000,0,1.126
2/18/2016,52.19,27016950,52.33,52.95,52.1,4487.540039,1955870000,2.64,1.1155
2/19/2016,51.82,33531580,51.97,52.28,51.53,4504.430176,1903770000,2.68,1.1144
2/22/2016,52.65,24992030,52.28,53,52.28,4570.609863,1794020000,2.62,1.1128
2/23/2016,51.18,28866480,52.34,52.37,50.98,4503.580078,1777750000,2.61,1.1107
2/24/2016,51.36,32918630,50.69,51.5,50.2,4542.609863,1978180000,2.62,1.1134
2/25/2016,52.1,26906570,51.73,52.1,50.61,4582.200195,1667840000,2.6,1.1029
2/26/2016,51.3,35945290,52.6,52.68,51.1,4590.470215,1814920000,2.61,1.102
2/29/2016,50.88,31632160,51.35,51.65,50.66,4557.950195,2065260000,2.58,1.1013
3/1/2016,52.58,32999880,50.97,52.59,50.9199,4689.600098,2080150000,2.63,1.1023
3/2/2016,52.95,29269240,52.41,52.96,52.155,4703.419922,1912510000,2.61,1.0934
3/3/2016,52.35,24423260,52.97,52.97,51.78,4707.419922,1936290000,2.7,1.0873
3/4/2016,52.03,33033010,52.4,52.45,51.71,4717.02002,2171230000,2.69,1.0867
3/7/2016,51.03,38426220,51.56,51.8,50.58,4708.25,2084390000,2.65,1.0868
3/8/2016,51.65,33822940,50.8,52.13,50.595,4648.819824,1993060000,2.7,1.0957
3/9/2016,52.84,28238270,51.89,52.85,51.855,4674.379883,1789550000,2.71,1.1004
3/10/2016,52.05,38385600,52.93,52.94,51.16,4662.160156,1936470000,2.63,1.1014
3/11/2016,53.07,32267360,53,53.07,52.38,4748.470215,1801790000,2.68,1.1011
3/14/2016,53.17,24079770,52.71,53.59,52.63,4750.279785,1615100000,2.7,1.0999
3/15/2016,53.59,21011480,52.75,53.59,52.74,4728.669922,1692420000,2.75,1.1177
3/16/2016,54.35,31679130,53.45,54.6,53.4,4763.970215,1781060000,2.74,1.1153
3/17/2016,54.66,28193010,54.21,55,54,4774.990234,1907190000,2.73,1.1106
3/18/2016,53.49,67622520,54.92,54.97,53.445,4795.649902,2829040000,2.73,1.1109
3/21/2016,53.86,23920160,53.25,53.9298,52.93,4808.870117,1609230000,2.69,1.1225
3/22/2016,54.07,23105140,53.61,54.25,53.46,4821.660156,1596200000,2.68,1.1319
